city,otherName,country,latitude,longitude,year,population,certainty,source,overlapCandidateCount
Eridu,,Iraq,30.8158379,45.99607031,-3700,6000,1,modelski_ancient,1
Eridu,,Iraq,30.8158379,45.99607031,-3500,10000,1,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-3500,10000,1,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-3500,14000,1,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-3300,10000,1,modelski_ancient,1
Eridu,,Iraq,30.8158379,45.99607031,-3300,10000,1,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-3300,10000,1,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-3300,40000,1,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-3000,10000,1,modelski_ancient,1
Eridu,,Iraq,30.8158379,45.99607031,-3000,10000,1,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-3000,10000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-3000,20000,1,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-3000,10000,1,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-3000,40000,1,modelski_ancient,1
Adab,,Iraq,31.94700807,45.96842134,-2800,10000,1,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-2800,10000,1,modelski_ancient,1
Kish,Qish,Iraq,32.55217989,44.5856425,-2800,30000,1,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-2800,40000,1,modelski_ancient,1
Larsa,,Iraq,31.28397535,45.85304653,-2800,16000,1,modelski_ancient,1
Mari,,Syria,34.54962872,40.88925833,-2800,10000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-2800,20000,1,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-2800,10000,1,modelski_ancient,1
Shuruppak,,Iraq,31.77736278,45.50976115,-2800,30000,1,modelski_ancient,1
Umma,,Sumer,31.6211048,45.93344587,-2800,20000,1,modelski_ancient,1
Ur,,Iraq,30.962659,46.10321,-2800,12000,1,modelski_ancient,1
Urkesh,"Urkiesh, Urkish, Tell Mozan",Syria,37.056944,40.997222,-2800,10000,3,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-2800,80000,1,modelski_ancient,1
Zabalam,Zabala,Iraq,31.743333,45.876667,-2800,10000,2,modelski_ancient,1
Adab,,Iraq,31.94700807,45.96842134,-2500,20000,1,modelski_ancient,1
Akshak,,Iraq,33.94720142,44.24471719,-2500,10000,3,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-2500,10000,1,modelski_ancient,1
Ebla,,Syria,35.79839754,36.79872812,-2500,30000,1,modelski_ancient,1
Harappa,,Pakistan,30.62983646,72.86614561,-2500,15000,1,modelski_ancient,1
Kish,Qish,Iraq,32.55217989,44.5856425,-2500,20000,1,modelski_ancient,1
Lagash,,Iraq,31.41480316,46.40981591,-2500,60000,1,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-2500,10000,1,modelski_ancient,1
Larsa,,Iraq,31.28397535,45.85304653,-2500,10000,1,modelski_ancient,1
Mari,,Syria,34.54962872,40.88925833,-2500,50000,1,modelski_ancient,1
Memphis,,Egypt,29.844722,31.250833,-2500,30000,2,modelski_ancient,1
Mohenjodaro,Mohenjo-daro,Pakistan,27.32533494,68.13293014,-2500,20000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-2500,15000,1,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-2500,20000,1,modelski_ancient,1
Shahr-e Sukhteh,Shakr-I-Sohta,Iran,30.595278,61.326389,-2500,20000,1,modelski_ancient,1
Shehna,"Tell Leilan, Shubat-Enlil",Syria,36.957222,41.505278,-2500,10000,3,modelski_ancient,1
Shuruppak,,Iraq,31.77736278,45.50976115,-2500,30000,1,modelski_ancient,1
Umma,,Sumer,31.6211048,45.93344587,-2500,40000,1,modelski_ancient,1
Ur,,Iraq,30.962659,46.10321,-2500,10000,1,modelski_ancient,1
Urkesh,"Urkiesh, Urkish, Tell Mozan",Syria,37.056944,40.997222,-2500,30000,3,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-2500,40000,1,modelski_ancient,1
Zabalam,Zabala,Iraq,31.743333,45.876667,-2500,10000,2,modelski_ancient,1
Adab,,Iraq,31.94700807,45.96842134,-2400,10000,1,modelski_ancient,1
Akshak,,Iraq,33.94720142,44.24471719,-2400,20000,3,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-2400,10000,1,modelski_ancient,1
Ebla,,Syria,35.79839754,36.79872812,-2400,30000,1,modelski_ancient,1
Girsu,,Iraq,31.56002579,46.1754283,-2400,40000,1,modelski_ancient,1
Harappa,,Pakistan,30.62983646,72.86614561,-2400,20000,1,modelski_ancient,1
Heliopolis,,Egypt,30.129528,31.288889,-2400,10000,3,modelski_ancient,1
Lagash,,Iraq,31.41480316,46.40981591,-2400,30000,1,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-2400,10000,1,modelski_ancient,1
Mari,,Syria,34.54962872,40.88925833,-2400,50000,1,modelski_ancient,1
Memphis,,Egypt,29.844722,31.250833,-2400,30000,2,modelski_ancient,1
Mohenjodaro,Mohenjo-daro,Pakistan,27.32533494,68.13293014,-2400,40000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-2400,10000,1,modelski_ancient,1
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778,59.556944,-2400,10000,1,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-2400,20000,1,modelski_ancient,1
Shahr-e Sukhteh,Shakr-I-Sohta,Iran,30.595278,61.326389,-2400,20000,1,modelski_ancient,1
Shehna,"Tell Leilan, Shubat-Enlil",Syria,36.957222,41.505278,-2400,10000,3,modelski_ancient,1
Shuruppak,,Iraq,31.77736278,45.50976115,-2400,10000,1,modelski_ancient,1
Susa,,Iran,32.19085,48.246028,-2400,10000,1,modelski_ancient,1
Umma,,Sumer,31.6211048,45.93344587,-2400,40000,1,modelski_ancient,1
Ur,,Iraq,30.962659,46.10321,-2400,10000,1,modelski_ancient,1
Urkesh,"Urkiesh, Urkish, Tell Mozan",Syria,37.056944,40.997222,-2400,30000,3,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-2400,30000,1,modelski_ancient,1
Zabalam,Zabala,Iraq,31.743333,45.876667,-2400,10000,2,modelski_ancient,1
Adab,,Iraq,31.94700807,45.96842134,-2300,10000,1,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-2300,10000,1,modelski_ancient,1
Dholavira,,India,23.886111,70.216667,-2300,15000,1,modelski_ancient,1
Ebla,,Syria,35.79839754,36.79872812,-2300,30000,1,modelski_ancient,1
Girsu,,Iraq,31.56002579,46.1754283,-2300,80000,1,modelski_ancient,1
Harappa,,Pakistan,30.62983646,72.86614561,-2300,20000,1,modelski_ancient,1
Heliopolis,,Egypt,30.129528,31.288889,-2300,10000,3,modelski_ancient,1
Larak,Kesh,Iraq,32.31273751,45.66099799,-2300,10000,1,modelski_ancient,1
Mari,,Syria,34.54962872,40.88925833,-2300,50000,1,modelski_ancient,1
Memphis,,Egypt,29.844722,31.250833,-2300,30000,2,modelski_ancient,1
Mohenjodaro,Mohenjo-daro,Pakistan,27.32533494,68.13293014,-2300,40000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-2300,20000,1,modelski_ancient,1
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778,59.556944,-2300,10000,1,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-2300,30000,1,modelski_ancient,1
Rakhigarhi,Rakhi Garhi,India,29.288611,76.113056,-2300,10000,1,modelski_ancient,1
Shahr-e Sukhteh,Shakr-I-Sohta,Iran,30.595278,61.326389,-2300,10000,1,modelski_ancient,1
Susa,,Iran,32.19085,48.246028,-2300,10000,1,modelski_ancient,1
Tell Taya,Samiatum,Iraq,36.33261877,42.4937529,-2300,15000,1,modelski_ancient,1
Titris Hoyuk,,Turkey,37.47622,38.676116,-2300,10000,3,modelski_ancient,1
Umma,,Sumer,31.6211048,45.93344587,-2300,40000,1,modelski_ancient,1
Ur,,Iraq,30.962659,46.10321,-2300,20000,1,modelski_ancient,1
Urkesh,"Urkiesh, Urkish, Tell Mozan",Syria,37.056944,40.997222,-2300,20000,3,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-2300,30000,1,modelski_ancient,1
Zabalam,Zabala,Iraq,31.743333,45.876667,-2300,10000,2,modelski_ancient,1
Ebla,,Syria,35.79839754,36.79872812,-2250,30000,1,chandler,1
Nippur,,Iraq,32.12693858,45.23078534,-2250,30000,1,chandler,1
Adab,,Iraq,31.94700807,45.96842134,-2200,30000,1,modelski_ancient,1
Akkad,,Iraq,32.77156192,44.32045916,-2200,30000,2,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-2200,10000,1,modelski_ancient,1
Dholavira,,India,23.886111,70.216667,-2200,15000,1,modelski_ancient,1
Girsu,,Iraq,31.56002579,46.1754283,-2200,50000,1,modelski_ancient,1
Harappa,,Pakistan,30.62983646,72.86614561,-2200,20000,1,modelski_ancient,1
Memphis,,Egypt,29.844722,31.250833,-2200,30000,2,modelski_ancient,1
Mohenjodaro,Mohenjo-daro,Pakistan,27.32533494,68.13293014,-2200,40000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-2200,15000,1,modelski_ancient,1
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778,59.556944,-2200,10000,1,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-2200,30000,1,modelski_ancient,1
Rakhigarhi,Rakhi Garhi,India,29.288611,76.113056,-2200,10000,1,modelski_ancient,1
Susa,,Iran,32.19085,48.246028,-2200,10000,1,modelski_ancient,1
Titris Hoyuk,,Turkey,37.47622,38.676116,-2200,10000,3,modelski_ancient,1
Umma,,Sumer,31.6211048,45.93344587,-2200,10000,1,modelski_ancient,1
Ur,,Iraq,30.962659,46.10321,-2200,40000,1,modelski_ancient,1
Zabalam,Zabala,Iraq,31.743333,45.876667,-2200,10000,2,modelski_ancient,1
Adab,,Iraq,31.94700807,45.96842134,-2100,10000,1,modelski_ancient,1
Anshan,,Iran,30.01201958,52.40857658,-2100,10000,1,modelski_ancient,1
Dholavira,,India,23.886111,70.216667,-2100,10000,1,modelski_ancient,1
Girsu,,Iraq,31.56002579,46.1754283,-2100,80000,1,modelski_ancient,1
Harappa,,Pakistan,30.62983646,72.86614561,-2100,15000,1,modelski_ancient,1
Mari,,Syria,34.54962872,40.88925833,-2100,30000,1,modelski_ancient,1
Mohenjodaro,Mohenjo-daro,Pakistan,27.32533494,68.13293014,-2100,20000,1,modelski_ancient,1
Nagar,Tell Brak,Syria,36.66739231,41.05865393,-2100,10000,1,modelski_ancient,1
Namazga-Tepe,Namazga-depe,Turkmenistan,37.372778,59.556944,-2100,10000,1,modelski_ancient,1
Nina,Surghul,Iraq,31.411389,46.407222,-2100,10000,3,modelski_ancient,1
Nippur,,Iraq,32.12693858,45.23078534,-2100,30000,1,modelski_ancient,1
Rakhigarhi,Rakhi Garhi,India,29.288611,76.113056,-2100,10000,1,modelski_ancient,1
Susa,,Iran,32.19085,48.246028,-2100,10000,1,modelski_ancient,1
Umma,,Sumer,31.6211048,45.93344587,-2100,20000,1,modelski_ancient,1
Ur,,Iraq,30.962659,46.10321,-2100,100000,1,modelski_ancient,1
Uruk,Erech,Iraq,31.322222,45.636111,-2100,30000,1,modelski_ancient,1
Zabalam,Zabala,Iraq,31.743333,45.876667,-2100,10000,2,modelski_ancient,1
